OSOURCE,STATE,ZIP,MAILCODE,NOEXCH,MDMAUD,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
AML,TX,75658,A,0,XXXX,43,,U,F,2,L,F,D,R,2
ARG,other,67212,A,0,XXXX,35,E,H,M,3,L,E,B,T,1
IMA,other,29340,A,0,XXXX,43,E,U,F,2,L,F,D,R,2
FLD,other,82501,A,0,XXXX,39,I,U,M,3,L,E,D,T,2
MBC,TX,77864,A,0,XXXX,45,,U,F,0,L,F,D,R,2
ARG,MO,63031,A,0,XXXX,11,E,H,M,3,L,D,A,S,1
L03,FL,32164,A,0,XXXX,40,E,H,F,2,L,E,D,R,2
L21,MI,48336,A,0,XXXX,20,E,H,M,3,L,F,A,S,2
L04,TX,77982,A,0,XXXX,53,E,H,F,2,L,F,D,R,3
ASE,IL,60622,A,0,XXXX,7,I,U,M,1,L,F,A,U,2
HOS,other,97404,A,0,XXXX,27,,H,F,1,L,F,B,C,2
MCC,CA,91803,A,0,XXXX,5,E,H,M,3,L,F,A,U,2
MAT,FL,33432,A,0,XXXX,23,E,H,M,3,L,E,B,C,1
SUF,WI,54412,A,0,XXXX,49,,U,M,0,L,G,C,R,2
DEL,other,73644-,A,0,XXXX,51,,U,F,0,L,F,D,R,3
QUI,other,97141,A,0,XXXX,49,E,H,F,3,L,G,D,R,2
WIG,GA,31909,A,0,XXXX,28,I,H,F,3,L,G,B,C,2
HAM,CA,93041,A,0,XXXX,7,,U,F,1,L,F,A,U,2
MBC,CA,95446,A,0,XXXX,46,E,U,F,2,L,F,A,R,2
MAT,WA,98177-,A,0,XXXX,17,E,H,M,3,L,E,A,S,2
IMA,WI,54935,A,0,XXXX,27,E,H,F,3,L,F,C,C,2
LHJ,CA,94565,A,0,XXXX,12,E,H,M,3,L,E,A,S,1
,IL,60201,A,0,XXXX,22,,U,M,0,L,F,A,C,1
MCC,other,37660,A,0,XXXX,41,I,H,F,2,L,G,B,T,3
SYN,CA,92117,A,0,XXXX,21,,U,F,2,L,D,A,S,3
ARG,WA,98201,A,0,XXXX,31,E,U,F,2,L,F,A,C,3
HCC,other,29464,A,0,XXXX,34,,U,F,0,L,F,B,T,1
MCC,IN,47122,A,0,XXXX,43,,U,F,0,L,D,B,R,2
HIL,MI,48418,A,0,XXXX,44,E,H,F,3,L,G,C,R,2
IMP,other,29576-,A,0,XXXX,23,,U,M,1,L,E,C,C,1
LHJ,TX,76048,A,0,XXXX,53,E,U,F,3,L,F,D,R,3
ESN,other,59254,A,0,XXXX,28,E,H,M,3,L,F,D,C,2
MAT,CA,94564,A,0,XXXX,12,E,H,M,3,L,F,A,S,1
L04,CA,95993,A,0,XXXX,27,I,U,F,0,L,F,C,C,2
PBL,WI,54451,A,0,XXXX,51,,H,M,2,L,F,D,R,3
HCC,IL,60605,A,0,D2CM,10,,U,F,0,L,G,A,U,4
L21,CA,91103,A,0,XXXX,32,I,H,M,3,L,G,A,C,3
BHG,other,29070,A,0,XXXX,47,,U,M,0,L,E,B,R,2
HOS,other,82301,A,0,XXXX,40,E,H,F,3,L,F,D,T,2
BHG,FL,33311,A,0,XXXX,9,E,H,M,2,L,F,A,U,3
HOS,other,73135,A,0,XXXX,18,I,U,F,1,L,F,B,S,2
WKB,MI,49328,A,0,XXXX,49,E,H,M,3,L,D,C,R,2
TV1,WA,98007,A,0,XXXX,13,E,H,F,2,L,F,A,S,1
NOR,TX,77501,A,0,XXXX,30,,U,M,0,L,F,A,C,3
SYN,CA,93722,A,0,XXXX,18,I,U,F,0,L,F,B,S,2
HJR,CA,91343,A,0,XXXX,2,E,H,M,3,L,F,A,U,1
BLI,other,37821,A,0,XXXX,51,E,H,M,3,L,G,D,R,3
ASC,CA,91737,A,0,XXXX,2,,U,F,0,L,E,A,U,1
BOA,WI,53233,A,0,XXXX,25,,U,F,0,L,G,B,C,2
HHH,other,23602,A,0,XXXX,39,,U,M,0,L,G,B,T,2
WKB,other,52585,A,0,XXXX,45,E,H,F,2,L,E,D,R,2
CRG,other,37645,A,0,XXXX,36,I,U,F,0,L,F,B,T,2
L15,GA,31705,A,0,XXXX,44,E,H,M,3,L,F,C,R,2
BHG,MI,48098,A,0,XXXX,14,E,H,M,3,L,E,A,S,1
HOS,FL,33442,A,0,XXXX,29,I,U,Other,2,L,G,A,C,2
LHJ,CA,94587,A,0,XXXX,12,,U,F,0,L,G,A,S,1
GPD,TX,76126,A,0,XXXX,12,E,H,F,3,L,F,A,S,1
L02,other,58072,A,0,XXXX,37,E,U,F,3,L,F,D,T,2
DBL,other,88260,A,0,XXXX,44,,U,M,3,L,E,D,R,2
OD1,FL,32720,A,0,XXXX,36,,H,Other,3,L,E,B,T,2
NOR,IL,60622,A,0,XXXX,7,E,H,F,2,L,F,A,U,2
HHS,IL,60303,A,0,XXXX,2,,U,F,0,L,G,A,U,1
L01,other,85024,A,0,XXXX,12,E,H,M,3,L,E,A,S,1
SUN,other,88130,A,0,XXXX,45,,U,F,3,L,E,D,R,2
IWD,MI,49444,A,0,XXXX,30,E,U,M,3,L,F,C,C,3
HHH,CA,90723-,A,0,XXXX,8,I,U,F,0,L,F,A,U,3
NAS,IL,60540,A,0,XXXX,14,E,H,F,3,L,F,A,S,1
SYN,other,52003,A,0,XXXX,27,E,H,F,3,L,E,C,C,2
SYN,CA,93110,A,0,XXXX,13,,U,F,0,L,F,B,S,1
L01,other,86336,A,0,XXXX,23,,U,F,3,L,F,C,C,1
MPL,WI,53066,B,0,XXXX,37,E,H,M,3,L,D,B,T,2
SGI,other,99686,A,0,XXXX,40,I,H,M,2,L,F,A,T,2
ARG,IN,47362,A,0,XXXX,41,E,U,M,3,L,G,D,T,3
DNA,other,52641,A,0,XXXX,36,E,H,F,2,L,F,D,T,2
BRE,other,97128,A,0,XXXX,42,E,H,M,3,L,F,B,R,1
SYN,other,35016,A,0,XXXX,43,,H,M,3,L,F,C,R,2
WKB,other,37853,A,0,XXXX,38,E,H,F,2,L,F,B,T,2
HOS,other,29654,A,0,XXXX,51,E,H,F,3,L,F,C,R,3
PRA,CA,91941,A,0,XXXX,13,,H,M,3,L,G,A,S,1
DBL,MI,48362,A,0,XXXX,40,E,H,M,3,L,F,A,T,2
WKB,MI,48733,A,0,XXXX,49,E,U,F,3,L,F,D,R,2
ALZ,IL,60439,A,0,XXXX,35,E,H,F,3,L,F,A,T,1
VIK,CA,95531,A,0,XXXX,36,E,H,M,2,L,F,D,T,2
TRE,FL,33569,A,0,XXXX,12,,U,M,3,L,E,A,S,1
CAW,CA,92545,A,0,XXXX,29,E,H,F,3,L,G,A,C,2
LEE,WA,98037,A,0,XXXX,17,E,H,M,3,L,G,A,S,2
LHJ,GA,30238,A,0,XXXX,30,E,H,F,2,L,F,A,C,3
AML,other,58554,A,0,XXXX,31,,U,F,1,L,E,C,C,3
ARG,IL,60174,A,0,XXXX,24,E,H,M,3,L,E,A,C,1
MBC,IL,60625,A,X,XXXX,7,E,H,F,3,L,E,A,U,2
HOS,other,29649,A,0,XXXX,36,E,H,M,3,L,D,C,T,2
DBL,NC,28303,A,0,XXXX,27,E,H,M,2,L,E,B,C,2
AML,CA,92264,A,0,XXXX,23,I,H,M,1,L,G,A,C,1
ARG,TX,75766,A,0,XXXX,36,,U,F,2,L,E,D,T,2
ESN,MI,48386,A,0,XXXX,35,E,H,M,3,L,G,A,T,1
DUR,MI,48326,A,0,XXXX,17,E,H,F,2,L,E,A,S,2
L01,CA,91768,A,0,XXXX,8,E,H,F,3,L,F,A,U,3
MBC,MI,49454,A,0,XXXX,43,E,H,F,2,L,G,D,R,2
POW,IL,61485,A,0,XXXX,45,,U,Other,2,L,F,C,R,2
HAN,other,38666,A,0,XXXX,50,E,U,F,2,L,E,D,R,3
COY,MI,48134,A,0,XXXX,18,,H,F,3,L,F,A,S,2
ARG,TX,78749,A,0,XXXX,13,E,H,M,3,L,G,B,S,1
FRC,NC,27330,A,0,XXXX,41,,U,F,0,L,F,D,T,3
ARG,FL,34470,A,0,XXXX,37,,U,M,1,L,F,C,T,2
COS,CA,95023,A,0,XXXX,49,E,H,F,3,L,G,D,R,2
WKB,other,55906,A,0,XXXX,26,,H,M,3,L,F,C,C,2
HAN,other,81236,A,0,XXXX,34,,U,F,1,L,E,D,T,1
CNT,other,36507,A,0,XXXX,43,,U,Other,2,L,F,B,R,2
MBC,NC,28304,A,0,XXXX,27,E,H,F,3,L,F,B,C,2
MBC,other,71913,A,0,XXXX,36,E,H,F,3,L,E,C,T,2
CWR,NC,28560,A,0,XXXX,36,E,H,M,3,L,E,C,T,2
IMP,WA,99022,A,0,XXXX,42,E,U,M,2,L,F,B,R,1
JFY,WA,98662,A,0,XXXX,33,,U,M,1,L,G,B,C,3
KNG,TX,78503,B,0,XXXX,40,,U,F,0,L,E,B,R,2
USB,NC,28742,A,0,XXXX,46,E,H,M,2,L,F,C,R,2
PSM,NC,28334,A,0,XXXX,36,E,U,F,2,L,G,C,T,2
L02,TX,78704,A,0,XXXX,4,,U,F,0,L,F,B,U,2
IMP,CA,90720,A,0,XXXX,13,,H,M,3,L,E,A,S,1
WKB,NC,28075,A,0,XXXX,40,I,H,F,3,L,E,B,T,2
WKB,other,56576-,A,0,XXXX,40,E,H,F,3,L,E,D,R,2
EAS,WA,98103,A,0,XXXX,3,E,H,F,2,L,G,A,U,1
SYN,FL,33781,A,0,XXXX,30,E,H,M,2,L,D,A,C,3
AGR,CA,94070,A,0,XXXX,11,E,H,M,3,L,G,A,S,1
NWN,IL,60123,A,0,XXXX,25,E,H,F,3,L,E,A,C,2
CWR,MO,65101,A,0,XXXX,40,,U,F,0,L,F,C,T,2
PBL,IL,60305,A,0,XXXX,2,,U,F,0,L,F,A,U,1
AML,IN,46234,A,0,XXXX,18,,U,F,3,L,E,B,S,2
SYC,TX,77388,A,0,XXXX,18,,H,F,2,L,F,A,S,2
CAW,WA,98584,A,0,XXXX,46,E,U,M,3,L,E,D,R,2
L04,IN,47448,B,0,XXXX,22,E,U,F,3,L,E,D,C,1
AMB,other,97754-,A,0,XXXX,19,I,U,F,0,L,E,D,S,2
L06,other,8003,A,0,XXXX,34,E,H,F,3,L,E,A,T,1
RMG,other,97392,A,0,XXXX,40,I,U,F,0,L,F,B,T,2
ASC,CA,92821,A,0,XXXX,11,E,H,M,2,L,G,A,S,1
NAS,GA,30296,A,0,XXXX,27,E,H,F,3,L,G,A,C,2
FRC,other,74137,A,0,XXXX,14,,U,F,0,L,E,B,S,1
CFI,other,59404,A,0,XXXX,30,E,H,F,2,L,F,C,C,3
NPT,other,73107,A,0,XXXX,30,E,H,M,3,L,E,B,C,3
CWR,MI,48146,A,0,XXXX,18,I,U,M,0,L,F,A,S,2
COS,FL,34432,A,0,XXXX,53,,U,F,1,L,F,C,R,3
SIG,FL,33615,A,0,XXXX,16,E,H,F,2,L,G,A,S,2
MBC,MI,48160,A,0,XXXX,40,E,H,F,3,L,D,A,T,2
FCR,TX,78732,A,0,XXXX,40,I,U,F,0,L,F,B,R,2
CRG,other,56763,A,0,XXXX,49,E,H,F,2,L,G,D,R,2
AML,WA,98042,A,0,XXXX,18,E,U,F,1,L,E,A,S,2
LIF,CA,92802,A,0,XXXX,15,,U,F,0,L,F,A,S,1
RPC,other,97132,A,0,XXXX,37,,U,F,0,L,D,B,T,2
HAN,other,55125,A,0,XXXX,14,,H,F,3,L,E,A,S,1
MBC,MI,49442,A,0,XXXX,31,E,H,M,2,L,E,C,C,3
TVF,NC,27610,A,0,XXXX,28,E,H,F,3,L,F,B,C,2
SYN,CA,95630,A,0,XXXX,20,E,H,M,1,L,F,B,S,2
SCP,CA,94062,A,0,XXXX,15,,U,M,0,L,E,A,S,1
LHJ,MI,48187,A,0,XXXX,18,,U,F,0,L,E,A,S,2
AGR,NC,27302,A,0,XXXX,36,I,U,F,0,L,F,C,T,2
L04,NC,28557,A,0,XXXX,23,E,H,F,3,L,G,C,C,1
SSS,NC,27562,A,0,XXXX,42,,U,F,0,L,G,B,R,1
D02,TX,78219,A,0,XXXX,18,E,H,F,2,L,F,B,S,2
ASC,other,29662,A,0,XXXX,37,E,H,F,3,L,E,B,T,2
PV3,CA,92109-,A,0,XXXX,18,E,H,M,3,L,E,A,S,2
DEL,NC,28728,A,0,XXXX,28,,U,F,3,L,G,C,C,2
ARG,other,50250,A,0,XXXX,43,,U,M,0,L,E,D,R,2
KEN,MO,65440,A,0,XXXX,43,E,H,F,2,L,G,D,R,2
LIS,MI,48723,A,0,XXXX,49,E,H,M,3,L,F,D,R,2
IMP,IL,60429,A,0,XXXX,17,E,U,F,2,L,D,A,S,2
L02,other,51104,A,0,XXXX,48,,H,F,3,L,D,C,R,2
UBA,IL,60085,A,0,XXXX,19,,U,M,0,L,G,A,S,2
GRI,FL,32025,A,0,XXXX,40,E,U,F,3,L,E,D,R,2
IMP,other,80220,A,0,XXXX,25,E,U,M,2,L,F,B,C,2
FRC,other,29607,A,0,XXXX,22,,U,F,0,L,F,B,C,1
L04,other,17603,A,0,XXXX,14,,U,F,1,L,F,B,S,1
AMB,FL,32086,A,0,XXXX,22,,U,F,0,L,E,B,C,1
RED,MO,65203,A,0,XXXX,24,E,H,F,1,L,F,C,C,1
CNT,NC,28399-,A,0,XXXX,50,I,H,Other,2,L,F,D,R,3
D02,other,38024,A,0,XXXX,43,E,H,F,2,L,F,D,R,2
IMP,TX,75203,A,0,XXXX,8,E,H,M,3,L,F,A,U,3
RNC,other,59919,A,0,XXXX,49,E,U,F,2,L,E,C,R,2
SYN,other,58501,A,0,XXXX,40,,H,M,3,L,G,C,T,2
AGR,CA,94545,A,0,XXXX,19,E,H,F,3,L,E,A,S,2
CRG,TX,76502,A,0,XXXX,35,,U,F,0,L,F,C,T,1
IMA,CA,91335,A,0,XXXX,12,,U,M,0,L,E,A,S,1
CAP,MO,65323,A,0,XXXX,51,,U,F,3,L,E,D,R,3
FRC,FL,33983,A,0,XXXX,27,I,H,M,3,L,F,C,C,2
DNA,other,58482,A,0,XXXX,53,E,U,F,2,L,F,D,R,3
CNC,IL,60174,A,0,XXXX,35,E,H,F,3,L,F,A,T,1
HCC,WA,98221-,A,0,XXXX,40,,U,F,0,L,F,C,T,2
SYN,MO,65453,A,0,XXXX,45,E,H,M,3,L,F,D,R,2
LHJ,other,38118-,A,0,XXXX,40,E,U,F,3,L,F,B,R,2
ENQ,WI,54562,A,0,XXXX,48,E,H,F,3,L,D,D,R,2
L15,other,71104,A,0,XXXX,27,E,H,M,3,L,G,B,C,2
AR1,other,37405,A,0,XXXX,30,E,U,F,3,L,F,B,C,3
ARB,other,37737-,A,0,XXXX,45,E,H,F,3,L,F,B,R,2
BHG,other,55124,A,0,XXXX,11,,U,F,0,L,F,A,S,1
MCC,TX,75791,A,0,XXXX,40,E,H,M,2,L,D,C,T,2
MBC,other,55016-,A,0,XXXX,51,E,H,M,3,L,F,A,R,3
BOA,IL,60473,A,0,XXXX,16,,U,F,0,L,F,A,S,2
L01,FL,32791,A,0,XXXX,11,,U,M,0,L,E,B,S,1
PRV,NC,27052,A,0,XXXX,47,I,U,F,2,L,F,B,R,2
MBC,CA,94553,A,0,XXXX,14,I,U,M,0,L,F,A,S,1
AML,WI,54401,A,0,XXXX,40,E,H,M,3,L,E,C,T,2
ASC,IN,47305,A,0,XXXX,31,E,H,M,3,L,F,C,C,3
CWR,NC,28730,A,0,XXXX,39,,H,F,3,L,F,C,T,2
BHG,IN,46748,A,0,XXXX,39,E,H,F,2,L,E,B,T,2
ATP,other,41075,A,0,XXXX,12,I,H,F,2,L,G,B,S,1
DNA,FL,33541,A,0,XXXX,37,E,H,M,3,L,E,A,T,2
SYN,other,73762,A,0,XXXX,49,E,H,F,3,L,F,D,R,2
HOS,MI,49203,A,0,XXXX,41,E,H,F,2,L,D,C,T,3
AMB,other,29577,A,0,XXXX,38,I,U,F,0,L,D,C,T,2
AIR,other,85033,A,0,XXXX,18,E,H,M,3,L,F,A,S,2
LIS,other,72023,A,0,XXXX,39,,U,F,1,L,E,B,T,2
SMM,CA,93940,A,0,XXXX,24,E,H,M,3,L,F,B,C,1
L02,WI,54166,A,0,XXXX,36,E,H,F,3,L,F,D,T,2
MCC,other,84021,A,0,XXXX,30,,H,F,2,L,F,D,C,3
MAT,other,80202,A,0,XXXX,1,,U,F,0,L,E,B,U,1
SYN,other,37042,A,0,XXXX,39,,H,M,1,L,F,C,T,2
ASC,MI,49083,A,0,XXXX,35,E,H,M,3,L,D,C,T,1
BHG,other,50170,A,0,XXXX,49,E,H,M,2,L,F,D,R,2
HHH,CA,94607,A,0,XXXX,9,I,U,F,0,L,E,A,U,3
ASC,MI,48210,A,0,XXXX,10,E,H,F,3,L,D,A,U,4
APP,MI,49895,A,0,XXXX,51,E,U,M,2,L,G,D,R,3
AML,CA,95118,A,0,XXXX,12,,U,M,0,L,F,A,S,1
DEL,MO,63332,A,0,XXXX,42,I,U,F,0,L,F,A,R,1
DRK,CA,94518,A,0,XXXX,2,E,H,M,3,L,F,A,U,1
CHT,other,52246,A,0,XXXX,22,E,H,M,3,L,F,C,C,1
MIC,CA,95119,A,0,XXXX,11,,H,F,2,L,F,A,S,1
HHH,TX,76457,A,0,XXXX,53,E,U,F,2,L,F,D,R,3
TPS,FL,33102,A,0,XXXX,31,,U,F,0,L,F,A,C,3
FOR,TX,79201,A,0,XXXX,49,,U,F,0,L,G,D,R,2
ARG,other,96623,A,0,XXXX,40,,U,M,0,L,D,A,R,2
HHL,WI,53208,A,0,XXXX,3,E,U,M,2,L,G,B,U,1
NAD,other,55077,A,0,XXXX,17,E,H,M,3,L,F,A,S,2
MCO,IL,60638,A,0,XXXX,16,E,H,M,3,L,F,A,S,2
FOR,CA,93010,A,0,XXXX,24,E,H,M,3,L,G,A,C,1
ARG,MI,48227,A,0,XXXX,8,E,H,M,2,L,F,A,U,3
MCC,other,87413,A,0,XXXX,49,I,H,F,3,L,F,C,R,2
LIS,other,74104,A,0,XXXX,31,E,U,F,3,L,E,B,C,3
DNA,other,39648,A,0,XXXX,50,E,U,M,2,L,F,D,R,3
DCD,IL,60634,A,0,XXXX,5,E,H,F,3,L,F,A,U,2
NEW,CA,95409,A,0,XXXX,35,E,H,M,3,L,F,A,T,1
FRC,MI,49509,A,0,XXXX,21,E,H,F,2,L,G,B,S,3
AML,IN,46394,A,0,XXXX,40,,U,M,2,L,F,A,R,2
FRC,CA,92507,A,0,XXXX,40,,U,F,0,L,G,A,R,2
AML,CA,90605,A,0,XXXX,6,E,H,M,3,L,E,A,U,2
MBC,TX,79412,A,0,XXXX,21,E,H,F,3,L,E,C,S,3
TV1,MI,48823,A,0,XXXX,22,I,H,M,2,L,F,B,C,1
,CA,92840,A,0,XXXX,28,I,U,M,0,L,G,A,C,2
WIS,other,87301,A,0,XXXX,39,I,U,F,0,L,F,D,T,2
HHH,other,85258,A,0,XXXX,16,,U,F,0,L,F,A,S,2
AML,TX,76689,A,0,XXXX,45,,U,F,0,L,E,D,R,2
FCR,other,85614,A,0,XXXX,23,,U,M,0,L,F,B,C,1
TVG,WA,98531,A,0,XXXX,38,E,H,F,3,L,F,C,T,2
DNA,NC,28405,A,0,XXXX,27,E,H,M,3,L,E,C,C,2
TOD,other,73726,A,0,XXXX,45,,H,F,3,L,F,D,R,2
NWN,MO,65203,A,0,XXXX,27,E,U,F,2,L,G,C,C,2
MCC,IL,61080,A,0,XXXX,27,E,H,F,2,L,F,B,C,2
L04,MO,63876,A,0,XXXX,53,E,H,F,2,L,F,D,R,3
RED,other,89706,A,0,XXXX,35,I,U,F,2,L,F,D,T,1
DNA,other,55901,A,0,XXXX,27,E,H,M,3,L,D,C,C,2
DCD,FL,33024,A,0,XXXX,17,E,H,F,2,L,F,A,S,2
TVF,GA,30312,A,0,XXXX,10,,U,M,3,L,F,A,U,4
MWD,CA,91710,A,0,XXXX,12,,U,F,0,L,F,A,S,1
AVN,IN,46947,A,0,XXXX,36,,U,F,0,L,F,D,T,2
DDA,IL,60126,A,0,XXXX,12,E,H,F,2,L,F,A,S,1
WLW,CA,93111,A,0,XXXX,13,E,H,M,2,L,G,B,S,1
APP,FL,33321,A,0,XXXX,23,E,H,M,3,L,D,A,C,1
PCL,other,37212,A,0,XXXX,31,E,H,F,3,L,E,B,C,3
L01,FL,32541,A,0,XXXX,42,E,U,M,1,L,E,D,R,1
HJR,CA,90242,A,0,XXXX,7,E,H,F,3,L,F,A,U,2
MBC,IL,60014,A,0,XXXX,34,E,H,F,2,L,F,A,T,1
SYC,CA,91763,A,0,XXXX,6,,U,M,0,L,F,A,U,2
ALZ,other,73023,A,0,XXXX,49,,U,M,1,L,G,D,R,2
PER,CA,90808,A,0,XXXX,2,,U,F,0,L,E,A,U,1
NFB,FL,33772,A,0,XXXX,8,,U,F,0,L,D,A,U,3
AIR,IL,61802,A,0,XXXX,22,,U,M,0,L,F,C,C,1
ARG,CA,92371,B,0,XXXX,49,E,H,M,2,L,F,A,R,2
DRK,other,85716,A,0,XXXX,25,E,U,M,1,L,G,B,C,2
L01,TX,78412,A,0,XXXX,30,E,H,F,3,L,E,B,C,3
ADD,CA,90505,A,0,XXXX,13,,H,M,3,L,F,A,S,1
AML,IL,60021,A,0,XXXX,35,E,H,M,3,L,F,A,T,1
PV3,other,50265,A,0,XXXX,21,E,U,F,2,L,F,B,S,3
CWR,FL,32141,A,0,XXXX,36,E,H,F,3,L,D,B,T,2
NWN,CA,94025,A,0,XXXX,11,E,H,F,3,L,F,A,S,1
L01,TX,77024,A,0,XXXX,1,E,U,M,3,L,E,A,U,1
AML,CA,91720,A,0,XXXX,27,E,H,M,3,L,F,A,C,2
AML,MO,64012-,A,0,XXXX,41,,U,F,3,L,G,B,T,3
DNA,FL,33311,A,0,XXXX,40,,U,M,3,L,E,A,R,2
ARG,WA,98136,A,0,XXXX,11,E,H,F,3,L,E,A,S,1
DCD,TX,78735,A,0,XXXX,12,,U,F,0,L,E,B,S,1
MBC,other,39282,A,0,XXXX,21,E,U,F,2,L,E,B,S,3
RPH,CA,93030-,A,0,C2CM,19,,U,F,3,L,G,A,S,2
USB,other,52644,A,0,XXXX,49,E,U,M,3,L,F,D,R,2
SYN,TX,79119,A,0,XXXX,42,I,U,M,0,L,F,C,R,1
OMH,other,68108,A,0,XXXX,30,E,H,M,3,L,F,B,C,3
STR,TX,75904,A,0,XXXX,40,E,U,F,2,L,F,C,R,2
MBC,NC,28479,A,0,XXXX,51,,U,M,0,L,F,C,R,3
AML,MI,49508,A,0,XXXX,11,E,H,F,3,L,F,B,S,1
BOA,other,73159,A,0,XXXX,25,E,U,M,3,L,F,B,C,2
SYN,CA,95113,A,0,XXXX,9,,U,M,0,L,F,A,U,3
HCC,other,73560,A,0,XXXX,45,,U,F,0,L,F,D,R,2
HHH,CA,96003,A,0,XXXX,30,E,U,F,2,L,F,C,C,3
NOR,other,80304,A,0,XXXX,24,E,H,M,3,L,E,B,C,1
AMB,IL,60013,A,0,XXXX,35,I,U,F,0,L,E,A,T,1
STR,other,83340,A,0,XXXX,42,E,H,F,2,L,G,D,R,1
MBC,GA,30525,A,0,XXXX,45,,U,F,0,L,D,D,R,2
RPH,CA,95338,A,0,XXXX,46,E,U,M,2,L,F,D,R,2
OVS,other,96792,A,0,XXXX,27,,H,F,3,L,F,B,C,2
AMB,other,68137,A,0,XXXX,14,E,H,F,3,L,E,B,S,1
CGS,other,85381,A,0,XXXX,23,,H,F,2,L,F,A,C,1
DNA,MO,63031,A,0,XXXX,16,E,H,M,3,L,F,A,S,2
HHH,other,37013,A,0,XXXX,12,,U,M,2,L,G,B,S,1
SGI,MI,48009,A,0,XXXX,11,E,H,M,3,L,G,A,S,1
L02,other,89502,A,0,XXXX,17,E,H,F,3,L,E,B,S,2
IMA,WA,98801,A,0,XXXX,24,E,H,M,2,L,G,C,C,1
MON,CA,92392,A,0,XXXX,27,E,U,F,2,L,G,A,C,2
IMP,other,85304,A,0,XXXX,6,E,H,M,2,L,G,A,U,2
DNA,CA,95326,A,0,XXXX,40,E,U,F,1,L,D,B,T,2
PGR,other,96819,B,0,XXXX,34,,U,F,1,L,G,B,T,1
L02,GA,31061,A,0,XXXX,47,,U,F,3,L,F,D,R,2
CNT,CA,95376,A,0,XXXX,35,E,H,F,3,L,F,B,T,1
CWR,IL,61802,A,0,XXXX,27,,U,F,0,L,D,C,C,2
MBC,MO,64124,A,0,XXXX,30,E,H,F,3,L,F,B,C,3
MBC,other,69001,A,0,XXXX,36,,H,F,3,L,F,D,T,2
AMB,IL,60096,A,0,XXXX,18,E,H,M,2,L,D,A,S,2
AMB,NC,28083,A,0,XXXX,32,E,H,F,3,L,D,B,C,3
CNT,other,74127,A,0,XXXX,14,E,H,M,3,L,G,B,S,1
MYO,FL,33908,A,0,XXXX,29,E,H,M,3,L,D,B,C,2
BRY,other,85001,A,0,XXXX,31,,U,F,2,L,G,A,C,3
ANT,other,72847,A,0,XXXX,49,,H,Other,2,L,G,D,R,2
AMB,WA,98284,A,0,XXXX,49,E,H,M,3,L,E,C,R,2
STR,CA,92679-,A,0,XXXX,1,,U,F,2,L,E,A,U,1
PME,IL,62278,A,0,XXXX,46,E,U,F,2,L,F,D,R,2
AKM,WA,99350-,A,0,XXXX,49,,U,M,2,L,F,C,R,2
SSS,other,85308,A,0,XXXX,14,E,U,M,2,L,F,A,S,1
USB,other,84083,A,0,XXXX,52,,U,M,2,L,E,D,R,3
KEN,TX,75602,A,0,XXXX,30,,U,M,0,L,E,C,C,3
MSD,MO,63304,A,0,XXXX,35,,U,F,0,L,G,A,T,1
GLP,other,55102,A,0,XXXX,7,,U,F,0,L,E,A,U,2
MCC,FL,34108,A,0,XXXX,40,I,U,F,0,L,G,C,T,2
DRK,FL,34105,A,0,XXXX,23,,U,F,0,L,E,C,C,1
BAN,MI,49004,A,0,XXXX,21,E,H,F,3,L,E,C,S,3
AGR,FL,34432-,A,0,XXXX,40,E,H,M,3,L,F,C,T,2
IWD,CA,91001,A,0,XXXX,19,E,H,F,1,L,G,A,S,2
PSM,CA,94022,A,0,XXXX,13,I,H,M,2,L,F,A,S,1
AGS,other,72015,A,0,XXXX,39,E,H,M,3,L,F,B,T,2
IMP,FL,34951,A,0,XXXX,36,E,H,F,3,L,F,B,T,2
AGR,CA,92111,A,0,XXXX,3,E,H,F,3,L,F,A,U,1
AMB,other,38578,A,0,XXXX,51,,H,F,2,L,G,D,R,3
IMP,WI,53227,A,0,XXXX,20,,U,M,3,L,D,B,S,2
BHG,CA,91208,A,0,XXXX,11,,U,F,0,L,G,A,S,1
ARG,TX,78363,A,0,XXXX,12,E,H,M,3,L,F,D,S,1
HOS,WI,54427,A,0,XXXX,51,,U,M,3,L,F,C,R,3
SUN,TX,76903,A,0,XXXX,33,,U,F,1,L,E,C,C,3
TVP,CA,93535,A,0,XXXX,39,E,H,F,2,L,F,A,T,2
ARG,MI,48322,A,0,XXXX,11,,H,M,1,L,G,A,S,1
L21,FL,32541,A,0,XXXX,27,E,H,F,3,L,F,D,C,2
HHH,other,42431,A,0,XXXX,40,E,H,M,3,L,F,D,T,2
BHG,CA,92371,A,0,XXXX,46,,U,F,0,L,E,A,R,2
HJR,CA,90275,A,0,XXXX,40,,H,F,2,L,F,A,R,2
STR,other,66071,A,0,XXXX,49,,U,F,0,L,F,B,R,2
ARG,other,80221,A,0,XXXX,30,E,H,M,3,L,F,B,C,3
MBC,other,70562-,A,0,XXXX,30,E,U,F,1,L,F,C,C,3
HAM,FL,32603,A,0,XXXX,22,,U,F,1,L,G,C,C,1
MCC,TX,77379,A,0,XXXX,24,,U,F,0,L,F,A,C,1
BHG,IN,47304,A,0,XXXX,46,E,U,M,3,L,G,C,R,2
